gene_id,gene_symbol,gene_description
66508,Lamtor1,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 1"
2541386,atg8,autophagy-associated protein Atg8
18245,Oaz1,ornithine decarboxylase antizyme 1
1856,DVL2,dishevelled segment polarity protein 2
2541322,rsv1,transcription factor Rsv1
2539869,cdc2,cyclin-dependent protein kinase Cdk1/Cdc2
3761,KCNJ4,potassium inwardly rectifying channel subfamily J member 4
80885,Hcar2,hydroxycarboxylic acid receptor 2
852498,KTR4,putative mannosyltransferase
834320,NPQ6,YCF20-like protein (DUF565)
852979,CTT1,catalase T
225689,MAPK15,mitogen-activated protein kinase 15
832990,BZO2H3,bZIP transcription factor family protein
5194,PEX13,peroxisomal biogenesis factor 13
2541914,rpa49,putative DNA-directed RNA polymerase I complex subunit Rpa49
831258,AT5G14090,regulator of nonsense transcript protein
60418,Gde1,glycerophosphodiester phosphodiesterase 1
39058,CG4477,uncharacterized protein
824742,AT3G55760,hypothetical protein
170947,Myoz3,myozenin 3
56254,RNF20,ring finger protein 20
2937,GSS,glutathione synthetase
32349,Clic,Chloride intracellular channel
946588,wcaI,colanic acid biosynthesis fucosyltransferase WcaI
948823,fadI,3-ketoacyl-CoA thiolase FadI
570397,opn7a,"opsin 7, group member a"
832655,AT5G25860,F-box/RNI-like superfamily protein
854414,ABP140,tRNA(Thr) (cytosine(32)-N(3))-methyltransferase
837280,ECA4,endomembrane-type CA-ATPase 4
91975,ZNF300,zinc finger protein 300
2541422,cph2,Clr6 histone deacetylase-associated PHD protein-2 Cph2
394016,cttnl,"cortactin, like"
30691,ephb4b,eph receptor B4b
170929,Bcl2a1,BCL2-related protein A1
814344,PF3D7_0302700,"CDGSH iron-sulfur domain-containing protein, putative"
361776,Ccdc172,coiled-coil domain containing 172
851515,MRP10,mitochondrial 37S ribosomal protein YmS-T
947410,yggF,"fructose 1,6-bisphosphatase YggF"
12628,Cfh,complement component factor h
947995,nikR,DNA-binding transcriptional repressor NikR
828268,QQT2,P-loop containing nucleoside triphosphate hydrolases superfamily protein
100332642,ambra1a,autophagy/beclin-1 regulator 1a
2540307,apc10,anaphase-promoting complex subunit Apc10
281990,POLD1,"DNA polymerase delta 1, catalytic subunit"
19170,Psmb1,"proteasome (prosome, macropain) subunit, beta type 1"
825444,ABCC14,multidrug resistance-associated protein 10
8638,OASL,2'-5'-oligoadenylate synthetase like
55125,CEP192,centrosomal protein 192
6120,RPE,ribulose-5-phosphate-3-epimerase
360565,Spata22,spermatogenesis associated 22
54106,TLR9,toll like receptor 9
46546,mwr,more wright
9882,TBC1D4,TBC1 domain family member 4
32556,Stim,Stromal interaction molecule
387837,CLEC12B,C-type lectin domain family 12 member B
65209,Dync2h1,dynein cytoplasmic 2 heavy chain 1
36306,SmD3,Small ribonucleoprotein particle protein SmD3
406989,MIR206,microRNA 206
176186,cutc-1,Copper homeostasis protein cutC homolog
14104,Fasn,fatty acid synthase
64076,Slc26a1,solute carrier family 26 member 1
8930,MBD4,"methyl-CpG binding domain 4, DNA glycosylase"
185915,clec-78,C-type LECtin
140823,ROMO1,reactive oxygen species modulator 1
67880,Dcxr,dicarbonyl L-xylulose reductase
851460,SNU23,U4/U6-U5 snRNP complex subunit SNU23
117538,Wipf1,"WAS/WASL interacting protein family, member 1"
8628979,abcG10,ABC transporter G family protein
563130,aqp8a.2,"aquaporin 8a, tandem duplicate 2"
853388,BIT61,Bit61p
36498,mars,mars
11011,TLK2,tousled like kinase 2
24697,Ptpn1,"protein tyrosine phosphatase, non-receptor type 1"
830024,GRP2,glycine rich protein 2
14275,Folr1,folate receptor 1 (adult)
81677,Itpka,inositol-trisphosphate 3-kinase A
29066,ZC3H7A,zinc finger CCCH-type containing 7A
17187,Max,Max protein
63935,PCIF1,phosphorylated CTD interacting factor 1
20280,Scp2,"sterol carrier protein 2, liver"
855784,YNR048W,putative aminophospholipid translocase regulatory protein
19693,Reg2,regenerating islet-derived 2
948421,lit,e14 prophage; cell death peptidase Lit
840218,GTL1,GT-2-like 1
181164,oga-1,O-GlcNAc selective N-Acetyl-beta-D-glucosaminidase (O-GlcNAcase)
5028,P2RY1,purinergic receptor P2Y1
39777,MED10,Mediator complex subunit 10
828927,MYB41,myb domain protein 41
946681,osmF,glycine betaine ABC transporter periplasmic binding protein OsmF
34038,Slob,Slowpoke binding protein
361833,Ank3,ankyrin 3
74180,Muc5b,"mucin 5, subtype B, tracheobronchial"
237781,Mief2,mitochondrial elongation factor 2
531682,CAT,catalase
855746,URK1,uridine kinase URK1
856216,SNT309,Snt309p
823706,MPK3,mitogen-activated protein kinase 3
541389,msi1b,musashi RNA binding protein 1b
856165,NHP6A,high-mobility group nucleosome-binding protein
33779,tomb,tombola
81803,Stx4,syntaxin 4
66335,Atp6v1c1,"ATPase, H+ transporting, lysosomal V1 subunit C1"
565014,kcnab2b,potassium voltage-gated channel subfamily A regulatory beta subunit 2b
8615992,psmB6,20S proteasome subunit beta-6
64345,Hif3a,hypoxia inducible factor 3 subunit alpha
5658272,sd-14,sd-14
180695,hpk-1,Homeodomain-interacting protein kinase 1
217325,Llgl2,LLGL2 scribble cell polarity complex component
818540,PGGT-I,Prenyltransferase family protein
825506,BIL4,Bax inhibitor-1 family protein
791124,cyp11c1,"cytochrome P450, family 11, subfamily C, polypeptide 1"
814823,PKS1,phytochrome kinase substrate 1
823740,EXLA1,expansin-like A1
825117,AT3G59480,pfkB-like carbohydrate kinase family protein
60490,PPCDC,phosphopantothenoylcysteine decarboxylase
834970,AT5G49110,fanconi anemia group I-like protein
835217,EYE,conserved oligomeric Golgi complex component-related / COG complex component-like protein
566903,gpr132b,G protein-coupled receptor 132b
10888,GPR83,G protein-coupled receptor 83
9805,SCRN1,secernin 1
133060,OTOP1,otopetrin 1
216864,Mgl2,macrophage galactose N-acetyl-galactosamine specific lectin 2
77626,Smpd4,sphingomyelin phosphodiesterase 4
854794,RPL2B,ribosomal 60S subunit protein L2B
828205,EOL1,ETO1-like 1
108954,Ppp1r15b,"protein phosphatase 1, regulatory subunit 15B"
360955,Man2b2,"mannosidase, alpha, class 2B, member 2"
170849,Zfp111,zinc finger protein 111
40045,ftz-f1,ftz transcription factor 1
2540064,hop1,synaptonemal complex-associated protein hop1
2768981,Trl,Trithorax-like
361084,Lmo7,LIM domain 7
855417,TRF5,non-canonical poly(A) polymerase TRF5
75764,Slx1b,SLX1 structure-specific endonuclease subunit homolog B (S. cerevisiae)
2539984,spf38,splicing factor Spf38
12331,Cap1,"CAP, adenylate cyclase-associated protein 1 (yeast)"
856005,INA17,Ina17p
10797,MTHFD2,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
42340,subdued,subdued
51333,ZNF771,zinc finger protein 771
100500845,MIR642B,microRNA 642b
944985,yahO,DUF1471 domain-containing protein YahO
856864,LCP5,Lcp5p
29131,Cartpt,CART prepropeptide
817708,CPK24,calcium-dependent protein kinase 24
32176,moon,moonshiner
30009,TBX21,T-box transcription factor 21
36747,bdg,bedraggled
5594,MAPK1,mitogen-activated protein kinase 1
2071,ERCC3,"ERCC excision repair 3, TFIIH core complex helicase subunit"
816281,P4H5,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
690158,Fpr2,formyl peptide receptor 2
20620,Plk2,polo like kinase 2
837517,XBCP3,xylem bark cysteine peptidase 3
81881,crx,cone-rod homeobox
304109,Tiam1,TIAM Rac1 associated GEF 1
171211,Edaradd,EDAR (ectodysplasin-A receptor)-associated death domain
25577,Ywhaq,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta"
123745,PLA2G4E,phospholipase A2 group IVE
842432,SD1-29,S-domain-1 29
51805,COQ3,"coenzyme Q3, methyltransferase"
42961,sosie,sosie
566470,gdf6a,growth differentiation factor 6a
84653,Hes7,hes family bHLH transcription factor 7
947002,iscU,scaffold protein for iron-sulfur cluster assembly
828979,PHR1,phosphate starvation response 1
79848,CSPP1,centrosome and spindle pole associated protein 1
828087,CRK,ARP2/3 complex 16 kDa subunit (p16-Arc)
25516,Pnoc,prepronociceptin
58122,mcl1a,"MCL1 apoptosis regulator, BCL2 family member a"
71601,Ceacam20,carcinoembryonic antigen-related cell adhesion molecule 20
842841,PHE1,MADS-box transcription factor family protein
18128,Notch1,notch 1
8539,API5,apoptosis inhibitor 5
818682,DPE2,disproportionating enzyme 2
176054,tbp-1,TATA-box-binding protein
318623,GluRIIE,Glutamate receptor IIE
946210,aroD,3-dehydroquinate dehydratase
79368,FCRL2,Fc receptor like 2
559315,ptger1a,prostaglandin E receptor 1a (subtype EP1)
830372,NOL,NYC1-like protein
283869,NPW,neuropeptide W
7730,ZNF177,zinc finger protein 177
5008124,MIR397a,miscRNA
91947,ARRDC4,arrestin domain containing 4
820142,CDC48,cell division cycle 48
843288,EXPA1,expansin A1
853602,MET5,sulfite reductase (NADPH) subunit beta
3642,INSM1,INSM transcriptional repressor 1
233274,Siglech,sialic acid binding Ig-like lectin H
268656,Sptlc1,"serine palmitoyltransferase, long chain base subunit 1"
19204,Ptafr,platelet-activating factor receptor
838911,AT1G23030,ARM repeat superfamily protein
838444,GR-RBP6,glycine-rich RNA-binding protein 6
65225,ctsd,cathepsin D
30711,snap25b,synaptosome associated protein 25b
813041,PF3D7_0522600,inner membrane complex protein
67040,Ddx17,DEAD box helicase 17
25981,DNAH1,dynein axonemal heavy chain 1
854872,TSL1,trehalose 6-phosphate synthase/phosphatase complex subunit
946626,yegS,lipid kinase YegS
35953,Cog6,Component of oligomeric golgi complex 6
116683,Efna5,ephrin A5
174256,spdl-1,Spindly-like protein spdl-1
182565,nhr-154,Nuclear hormone receptor family member nhr-154
842725,VHA-E3,vacuolar H+-ATPase subunit E 
7316,UBC,ubiquitin C
177543,hmg-5,HMG box-containing protein 5
20184,Uimc1,ubiquitin interaction motif containing 1
4879,NPPB,natriuretic peptide B
20017,Polr1b,polymerase (RNA) I polypeptide B
304862,Tpr,"translocated promoter region, nuclear basket protein"
827307,AT4G16155,dihydrolipoamide dehydrogenase
229644,Trim45,tripartite motif-containing 45
60309,robo2,"roundabout, axon guidance receptor, homolog 2 (Drosophila)"
10195,ALG3,"ALG3 alpha-1,3- mannosyltransferase"
812439,PF3D7_0423700,early transcribed membrane protein 4
1645,AKR1C1,aldo-keto reductase family 1 member C1
828153,PRL,Minichromosome maintenance (MCM2/3/5) family protein
854636,HXT12,pseudo
724048,fgf21,fibroblast growth factor 21
851504,PSA1,mannose-1-phosphate guanylyltransferase
396211,MYH11,"myosin, heavy chain 11, smooth muscle"
834163,CHX18,cation/H+ exchanger 18
13144,Dapk3,death-associated protein kinase 3
12627,Cfc1,"cripto, FRL-1, cryptic family 1"
6652,SORD,sorbitol dehydrogenase
393548,gadd45aa,"growth arrest and DNA-damage-inducible, alpha, a"
836150,AT5G60280,Concanavalin A-like lectin protein kinase family protein
944963,hypF,carbamoyl--[HypE] ligase
856102,AEP3,Aep3p
843568,ERF73,Integrase-type DNA-binding superfamily protein
723867,Mir434,microRNA 434
816856,AtMT4b,"Plant EC metallothionein-like protein, family 15"
24239,Cacna1c,calcium voltage-gated channel subunit alpha1 C
8618729,ap3b-1,beta adaptin
23408,SIRT5,sirtuin 5
59172,Capr,Caprin
852820,YBP2,Ybp2p
11243,PMF1,polyamine modulated factor 1
72401,Slc43a1,"solute carrier family 43, member 1"
266815,Mill1,MHC I like leukocyte 1
8707,B3GALT2,"beta-1,3-galactosyltransferase 2"
825402,ARFA1E,ADP-ribosylation factor A1E
8811,GALR2,galanin receptor 2
838307,AT1G17350,NADH:ubiquinone oxidoreductase intermediate-associated protein 30
266926,mab-23,DM domain-containing protein
560340,apol1,"apolipoprotein L, 1"
497948,Trpv3,"transient receptor potential cation channel, subfamily V, member 3"
853717,TGL1,sterol esterase
49638,drm,drumstick
842113,ZIP4,Clathrin adaptor complexes medium subunit family protein
851273,KIN3,serine/threonine protein kinase KIN3
855401,ATP11,Atp11p
329934,Foxo6,forkhead box O6
570216,itgb1b,"integrin, beta 1b"
282009,TMPRSS15,transmembrane serine protease 15
233066,Syne4,"spectrin repeat containing, nuclear envelope family member 4"
821044,GAD5,glutamate decarboxylase 5
853062,MTR3,exosome non-catalytic core subunit MTR3
100033579,mir19d,microRNA 19d
723952,Mir125b-2,microRNA 125b-2
100216326,frem1a,Fras1 related extracellular matrix 1a
2542358,clp1,Cdc14 family protein phosphatase Clp1
137872,ADHFE1,alcohol dehydrogenase iron containing 1
51608,GET4,guided entry of tail-anchored proteins factor 4
566658,tcnbb,transcobalamin beta b
76976,Arxes2,adipocyte-related X-chromosome expressed sequence 2
492472,slc7a6os,solute carrier family 7 member 6 opposite strand
475471,SFRP2,secreted frizzled related protein 2
19695,Reg3g,regenerating islet-derived 3 gamma
26154,ABCA12,ATP binding cassette subfamily A member 12
30011,SH3KBP1,SH3 domain containing kinase binding protein 1
831246,AT5G13980,Glycosyl hydrolase family 38 protein
855153,PKR1,Pkr1p
854868,NUP188,Nup188p
828200,AT4G00390,DNA-binding storekeeper protein-related transcriptional regulator
288701,Srsf9,serine and arginine rich splicing factor 9
423504,HSPA2,heat shock 70kDa protein 2
174305,ire-1,Endoribonuclease;Serine/threonine-protein kinase
177794,elt-1,Transcription factor elt-1
114494,Ccna2,cyclin A2
107889,Gcm2,glial cells missing homolog 2
945442,flhD,DNA-binding transcriptional dual regulator FlhD
821805,AOX1B,alternative oxidase 1B
4052,LTBP1,latent transforming growth factor beta binding protein 1
814703,RIE1,RING-finger protein for embryogenesi
816826,ACA7,Cation transporter/ E1-E2 ATPase family protein
56486,Gabarap,gamma-aminobutyric acid receptor associated protein
833556,SAP,Transducin/WD40 repeat-like superfamily protein
57931,axin1,axin 1
214580,Pstk,phosphoseryl-tRNA kinase
829623,ADC2,arginine decarboxylase 2
853223,LAA1,Laa1p
16151,Ikbkg,inhibitor of kappaB kinase gamma
2539085,rps2802,40S ribosomal protein S28
832267,J2,DNAJ homologue 2
66423,Coprs,"coordinator of PRMT5, differentiation stimulator"
834956,AT5G48970,Mitochondrial substrate carrier family protein
330627,Trim66,tripartite motif-containing 66
2539307,brl2,ubiquitin-protein ligase E3 Brl2
33986,Gart,GART trifunctional enzyme
191688,ins-7,putative insulin-like peptide beta-type 4
360937,Tbc1d1,TBC1 domain family member 1
853943,MET1,uroporphyrinogen-III C-methyltransferase
12733,Clcnka,"chloride channel, voltage-sensitive Ka"
6352,CCL5,C-C motif chemokine ligand 5
855224,HSC82,Hsp90 family chaperone HSC82
1117,CHI3L2,chitinase 3 like 2
57325,KAT14,lysine acetyltransferase 14
688272,Rnf157,ring finger protein 157
382077,Ccdc33,coiled-coil domain containing 33
80207,OPA3,outer mitochondrial membrane lipid metabolism regulator OPA3
17158,Man2a1,"mannosidase 2, alpha 1"
69836,Pla2g12b,"phospholipase A2, group XIIB"
945837,adhE,fused acetaldehyde-CoA dehydrogenase and iron-dependent alcohol dehydrogenasealdehyde/alcohol dehydrogenase AdhE
947302,yfhM,alpha2-macroglobulin
821112,LBD41,LOB domain-containing protein 41
838266,AT1G16950,transmembrane protein
570582,vcpip1,valosin containing protein (p97)/p47 complex interacting protein 1
843749,SOT18,desulfo-glucosinolate sulfotransferase 18
946662,pbpG,peptidoglycan DD-endopeptidase PbpG
2540737,bgs1,"1,3-beta-glucan synthase catalytic subunit Bgs1"
830349,AT5G04710,Zn-dependent exopeptidases superfamily protein
833967,EMB2745,Tetratricopeptide repeat (TPR)-like superfamily protein
29965,CDIP1,cell death inducing p53 target 1
85403,EAF1,ELL associated factor 1
66841,Etfdh,"electron transferring flavoprotein, dehydrogenase"
245026,Col6a6,"collagen, type VI, alpha 6"
854385,RPB10,DNA-directed RNA polymerase core subunit RPB10
54677,CROT,carnitine O-octanoyltransferase
2541649,spo15,sporulation protein Spo15
825521,AT3G63460,transducin family protein / WD-40 repeat family protein
177267,pes-1,Fork-head domain-containing protein
172330,hrpk-1,Heterogeneous nuclear ribonucleoprotein K homolog
842958,CML23,calmodulin like 23
825409,AT3G62360,Carbohydrate-binding-like fold
2780,GNAT2,G protein subunit alpha transducin 2
53354,PANK1,pantothenate kinase 1
1857,DVL3,dishevelled segment polarity protein 3
40826,pb,proboscipedia
828558,UBP16,ubiquitin-specific protease 16
2542910,SPAC1486.03c,putative RNA-binding splicing factor
850398,BPH1,Bph1p
26503,SLC17A5,solute carrier family 17 member 5
945752,dadA,D-amino acid dehydrogenase
30447,ncam1a,neural cell adhesion molecule 1a
100329657,ltb4r,leukotriene B4 receptor
35577,Rab2,Rab2
180852,atat-2,Alpha-tubulin N-acetyltransferase 2
75605,Kdm5b,lysine (K)-specific demethylase 5B
945532,ddpX,D-alanyl-D-alanine dipeptidase
399948,COLCA1,colorectal cancer associated 1
116484,Txn1,thioredoxin 1
296121,Usp8,ubiquitin specific peptidase 8
948232,yieH,6-phosphogluconate phosphatase
2683,B4GALT1,"beta-1,4-galactosyltransferase 1"
100005403,tmem65,transmembrane protein 65
825145,OASC,O-acetylserine (thiol) lyase 
5996,RGS1,regulator of G protein signaling 1
569256,fat3a,FAT atypical cadherin 3a
171390,Nlrp6,"NLR family, pyrin domain containing 6"
824477,LOS4,P-loop containing nucleoside triphosphate hydrolases superfamily protein
558436,jmjd1cb,jumonji domain containing 1Cb
3570,IL6R,interleukin 6 receptor
66273,Aamdc,adipogenesis associated Mth938 domain containing
23760,PITPNB,phosphatidylinositol transfer protein beta
816846,PUB4,RING/U-box superfamily protein with ARM repeat domain-containing protein
829072,PRMT11,arginine methyltransferase 11
57628,DPP10,dipeptidyl peptidase like 10
842407,EDA16,SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-like protein
23968,Nlrp5,"NLR family, pyrin domain containing 5"
855373,ERR3,phosphopyruvate hydratase ERR3
44360,Rab18,Rab18
818120,BPC7,basic pentacysteine 7
14677,Gnai1,"guanine nucleotide binding protein (G protein), alpha inhibiting 1"
24380,Gad2,glutamate decarboxylase 2
41211,eloF,elongase F
820367,RPS5A,ribosomal protein 5A
102866,Pls3,plastin 3 (T-isoform)
18617,Rhox5,reproductive homeobox 5
327078,polr1a,RNA polymerase I subunit A
819887,SGT,UDP-Glycosyltransferase superfamily protein
26357,Abcg2,ATP binding cassette subfamily G member 2 (Junior blood group)
854230,YNG1,Yng1p
843122,ABCI17,non-intrinsic ABC protein 3
29458,Neurod1,neuronal differentiation 1
33204,Plc21C,Phospholipase C at 21C
136319,MTPN,myotrophin
323003,trappc11,trafficking protein particle complex subunit 11
25720,Tcf12,transcription factor 12
799930,p4htmb,"prolyl 4-hydroxylase, transmembrane b"
40976,Nazo,nazo
10014,HDAC5,histone deacetylase 5
5008284,AT5G38378,Plant thionin family protein
43728,pasha,partner of drosha
835901,SKIP1,SKP1 interacting partner 1
19049,Ppp1r1b,"protein phosphatase 1, regulatory inhibitor subunit 1B"
9961,MVP,major vault protein
55328,RNLS,"renalase, FAD dependent amine oxidase"
107831,Adgrb1,adhesion G protein-coupled receptor B1
92105,INTS4,integrator complex subunit 4
10220,GDF11,growth differentiation factor 11
321844,pcbp2,poly(rC) binding protein 2
363455,Chrdl1,chordin-like 1
829009,ckl3,casein kinase I-like 3
844358,AT1G80180,hypothetical protein
32584,Prosalpha4,Proteasome alpha4 subunit
850994,RPS30A,ribosomal 40S subunit protein S30A
2874,GPS2,G protein pathway suppressor 2
835612,RAN3,RAN GTPase 3
948715,ulaC,L-ascorbate specific PTS enzyme IIA component
35790,Lpin,Lipin
117026,Apbb3,amyloid beta precursor protein binding family B member 3
8621802,aoxA,hypothetical protein
827864,ZAC,Calcium-dependent ARF-type GTPase activating protein family
48337,GstD4,Glutathione S transferase D4
838206,AT1G05250,Peroxidase superfamily protein
114630,Atp5mc3,ATP synthase membrane subunit c locus 3
67860,S100a16,S100 calcium binding protein A16
13000,Csnk2a2,"casein kinase 2, alpha prime polypeptide"
37339,DMAP1,DNA methyltransferase 1 associated protein 1
2540431,prs1,putative proline--tRNA (Pro) ligase Prs1
83861,RSPH3,radial spoke head 3
828800,MYB97,myb domain protein 97
5617,PRL,prolactin
18378,Omp,olfactory marker protein
32831,Hayan,hayan
45068,l(2)3A2,lethal (2) 3A2
839141,PFT1,phytochrome and flowering time regulatory protein (PFT1)
44323,Csr,Chaser
445537,ST3GAL1,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
7844,RNF103,ring finger protein 103
13640,Efna5,ephrin A5
4736,RPL10A,ribosomal protein L10a
73608,Marveld3,MARVEL (membrane-associating) domain containing 3
178233,unc-31,Calcium-dependent secretion activator
83773,dmd,dystrophin
16162,Il12rb2,"interleukin 12 receptor, beta 2"
138715,ARID3C,AT-rich interaction domain 3C
172856,mom-5,Protein mom-5
842602,KNAT7,homeobox knotted-like protein
100124495,Mir466g,microRNA 466g
160518,DENND5B,DENN domain containing 5B
641371,ACOT1,acyl-CoA thioesterase 1
84380,Dhh,desert hedgehog signaling molecule
947170,recA,DNA recombination/repair protein RecA
201292,TRIM65,tripartite motif containing 65
161582,DNAAF4,dynein axonemal assembly factor 4
32275,mew,multiple edematous wings
822266,AT3G26580,Tetratricopeptide repeat (TPR)-like superfamily protein
58100,badb,BCL2 associated agonist of cell death b
48440,Kebab,Kinetochore and EB1 associated basic protein
838105,SHN1,Integrase-type DNA-binding superfamily protein
237868,Sarm1,sterile alpha and HEAT/Armadillo motif containing 1
13731,Emp2,epithelial membrane protein 2
838766,NADK2,NAD kinase 2
51529,ANAPC11,anaphase promoting complex subunit 11
66422,Dctpp1,dCTP pyrophosphatase 1
553550,tsen54,TSEN54 tRNA splicing endonuclease subunit
853296,SFH5,Sfh5p
282116,VAMP2,vesicle associated membrane protein 2
170935,Grid2ip,"glutamate receptor, ionotropic, delta 2 (Grid2) interacting protein 1"
174313,pch-2,Putative pachytene checkpoint protein 2
35998,Uba1,Ubiquitin activating enzyme 1
20348,Sema3c,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C"
445198,suv39h1a,suppressor of variegation 3-9 homolog 1a
287701,Krt14,keratin 14
11045,UPK1A,uroplakin 1A
18815,Plg,plasminogen
838632,COR47,cold-regulated 47
2875835,AN0056.2,hypothetical protein
2542193,spn4,septin Spn4
30145,lft1,lefty1
33423,Atxn7,Ataxin 7
299258,Golga5,golgin A5
3109,HLA-DMB,"major histocompatibility complex, class II, DM beta"
110380,Shroom2,shroom family member 2
8622298,lipA,hypothetical protein
57136,APMAP,adipocyte plasma membrane associated protein
825277,NTMC2T4,Calcium-dependent lipid-binding (CaLB domain) family protein
945098,hha,hemolysin expression-modulating protein Hha
18391,Sigmar1,sigma non-opioid intracellular receptor 1
850611,PRE4,proteasome core particle subunit beta 7
854465,SNF2,SWI/SNF catalytic subunit SNF2
834561,RPS4,Disease resistance protein (TIR-NBS-LRR class) family
103692906,Eif3e,eukaryotic translation initiation factor 3 subunit E
24553,Met,"MET proto-oncogene, receptor tyrosine kinase"
945573,hyaE,putative HyaA chaperone
81755,Rab3b,"RAB3B, member RAS oncogene family"
823858,AT3G47050,Glycosyl hydrolase family protein
421724,HSF2,heat shock transcription factor 2
830313,ZAT6,6
300222,Mcrs1,microspherule protein 1
852844,YGL039W,carbonyl reductase (NADPH-dependent)
2539726,SPBC13E7.08c,putative RNA polymerase II-associated Paf1 complex protein
851189,YRF1-5,Y' element ATP-dependent helicase protein 1 copy 5
10907,TXNL4A,thioredoxin like 4A
821170,BPM4,BTB-POZ and MATH domain 4
838872,AT1G22660,Polynucleotide adenylyltransferase family protein
70239,Gtf3c5,"general transcription factor IIIC, polypeptide 5"
23999,Twf2,twinfilin actin binding protein 2
831847,DPB,Transcription factor DP
8617398,fttB,hypothetical protein
828424,EMB1290,cysteine-rich receptor-like protein kinase 17
78390,Pla2g4d,"phospholipase A2, group IVD"
81491,GPR63,G protein-coupled receptor 63
810709,PF3D7_1115400,cysteine proteinase falcipain 3
16653,Kras,Kirsten rat sarcoma viral oncogene homolog
2540234,cdc10,MBF transcription factor complex subunit Cdc10
828750,WRKY34,WRKY DNA-binding protein 34
11568,Aebp1,AE binding protein 1
853599,MCM22,Mcm22p
79841,AGBL2,AGBL carboxypeptidase 2
832045,AT5G19250,Glycoprotein membrane precursor GPI-anchored
235497,Leo1,"Leo1, Paf1/RNA polymerase II complex component"
826497,AT4G09160,SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein
2541149,gyp10,GTPase-activating protein Gyp10
1268,CNR1,cannabinoid receptor 1
3361462,rpt5,putative proteasome regulatory subunit Rpt5
513221,HMOX1,heme oxygenase 1
252983,STXBP4,syntaxin binding protein 4
176829,daf-1,Cell surface receptor daf-1
852892,SEC9,Sec9p
395101,UNC5C,unc-5 netrin receptor C
567365,akap12b,A kinase (PRKA) anchor protein 12b
820731,mMDH2,Lactate/malate dehydrogenase family protein
360445,Crisp2,cysteine-rich secretory protein 2
28716239,CLE20,CLAVATA3/ESR-RELATED 20
2540193,adn2,putative transcription factor
175810,polq-1,DNA polymerase theta
12229,Btk,Bruton agammaglobulinemia tyrosine kinase
140581,Patj,"PATJ, crumbs cell polarity complex component"
946169,grxD,glutaredoxin 4
831476,CRS1,maize chloroplast splicing factor-like protein
34696,Yip1d1,Yip1 domain-containing 1
825295,PLIM2c,GATA type zinc finger transcription factor family protein
946425,proB,glutamate 5-kinase
181481,bra-1,MYND-type domain-containing protein
2114,ETS2,"ETS proto-oncogene 2, transcription factor"
966,CD59,CD59 molecule (CD59 blood group)
174301,ltd-1,LIM zinc-binding domain-containing protein;TGc domain-containing protein
2541352,mfm3,M-factor precursor Mfm3
946216,lpxL,lauroyl acyltransferase
